"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]"
"Raahe Nahkiainen","2020","1","6","13:00","9.1","241"
"Raahe Nahkiainen","2020","1","6","14:00","9.4","228"
"Raahe Nahkiainen","2020","1","6","15:00","10.5","222"
"Raahe Nahkiainen","2020","1","6","16:00","10.9","229"
"Raahe Nahkiainen","2020","1","6","17:00","10","226"
"Raahe Nahkiainen","2020","1","6","18:00","10.1","219"
"Raahe Nahkiainen","2020","1","6","19:00","9.3","213"
"Raahe Nahkiainen","2020","1","6","20:00","11.1","202"
"Raahe Nahkiainen","2020","1","6","21:00","10.8","206"
"Raahe Nahkiainen","2020","1","6","22:00","11.8","221"
"Raahe Nahkiainen","2020","1","6","23:00","13.8","227"
"Raahe Nahkiainen","2020","1","7","00:00","13.1","221"
"Raahe Nahkiainen","2020","1","7","01:00","13.3","220"
"Raahe Nahkiainen","2020","1","7","02:00","14","216"
"Raahe Nahkiainen","2020","1","7","03:00","13.6","212"
"Raahe Nahkiainen","2020","1","7","04:00","12.6","199"
"Raahe Nahkiainen","2020","1","7","05:00","13.2","194"
"Raahe Nahkiainen","2020","1","7","06:00","13.5","194"
"Raahe Nahkiainen","2020","1","7","07:00","13.4","188"
"Raahe Nahkiainen","2020","1","7","08:00","13.7","192"
"Raahe Nahkiainen","2020","1","7","09:00","13.7","198"
"Raahe Nahkiainen","2020","1","7","10:00","15.2","208"
"Raahe Nahkiainen","2020","1","7","11:00","15.8","224"
"Raahe Nahkiainen","2020","1","7","12:00","15","234"
"Raahe Nahkiainen","2020","1","7","13:00","14","234"
"Raahe Nahkiainen","2020","1","7","14:00","13","234"
"Raahe Nahkiainen","2020","1","7","15:00","12.7","234"
"Raahe Nahkiainen","2020","1","7","16:00","11.7","230"
"Raahe Nahkiainen","2020","1","7","17:00","12.4","234"
"Raahe Nahkiainen","2020","1","7","18:00","12.1","230"
"Raahe Nahkiainen","2020","1","7","19:00","12.4","219"
"Raahe Nahkiainen","2020","1","7","20:00","12.5","215"
"Raahe Nahkiainen","2020","1","7","21:00","12.4","203"
"Raahe Nahkiainen","2020","1","7","22:00","13.9","201"
"Raahe Nahkiainen","2020","1","7","23:00","15.3","197"
"Raahe Nahkiainen","2020","1","8","00:00","14.7","195"
"Raahe Nahkiainen","2020","1","8","01:00","14.1","195"
"Raahe Nahkiainen","2020","1","8","02:00","15.2","195"
"Raahe Nahkiainen","2020","1","8","03:00","15.5","199"
"Raahe Nahkiainen","2020","1","8","04:00","15.3","202"
"Raahe Nahkiainen","2020","1","8","05:00","16.6","213"
"Raahe Nahkiainen","2020","1","8","06:00","17.7","217"
"Raahe Nahkiainen","2020","1","8","07:00","17.2","219"
"Raahe Nahkiainen","2020","1","8","08:00","19.1","224"
"Raahe Nahkiainen","2020","1","8","09:00","19.1","229"
"Raahe Nahkiainen","2020","1","8","10:00","17.9","234"
"Raahe Nahkiainen","2020","1","8","11:00","16.3","236"
"Raahe Nahkiainen","2020","1","8","12:00","15.1","240"
"Raahe Nahkiainen","2020","1","8","13:00","14.9","244"
"Raahe Nahkiainen","2020","1","8","14:00","13.2","246"
"Raahe Nahkiainen","2020","1","8","15:00","13.9","263"
"Raahe Nahkiainen","2020","1","8","16:00","14.3","262"
"Raahe Nahkiainen","2020","1","8","17:00","13.2","264"
"Raahe Nahkiainen","2020","1","8","18:00","14.1","264"
"Raahe Nahkiainen","2020","1","8","19:00","15.4","261"
"Raahe Nahkiainen","2020","1","8","20:00","15.9","252"
"Raahe Nahkiainen","2020","1","8","21:00","14.8","251"
"Raahe Nahkiainen","2020","1","8","22:00","14.2","248"
"Raahe Nahkiainen","2020","1","8","23:00","15.8","242"
"Raahe Nahkiainen","2020","1","9","00:00","16.4","239"
"Raahe Nahkiainen","2020","1","9","01:00","16","239"
"Raahe Nahkiainen","2020","1","9","02:00","15.4","241"
"Raahe Nahkiainen","2020","1","9","03:00","15.4","243"
"Raahe Nahkiainen","2020","1","9","04:00","15.2","247"
"Raahe Nahkiainen","2020","1","9","05:00","13.8","249"
"Raahe Nahkiainen","2020","1","9","06:00","14","257"
"Raahe Nahkiainen","2020","1","9","07:00","14.8","264"
"Raahe Nahkiainen","2020","1","9","08:00","15.7","272"
"Raahe Nahkiainen","2020","1","9","09:00","17","274"
"Raahe Nahkiainen","2020","1","9","10:00","16.9","279"
"Raahe Nahkiainen","2020","1","9","11:00","17.2","284"
"Raahe Nahkiainen","2020","1","9","12:00","17.4","281"
"Raahe Nahkiainen","2020","1","9","13:00","14.7","286"
"Raahe Nahkiainen","2020","1","9","14:00","14.9","286"
"Raahe Nahkiainen","2020","1","9","15:00","15","284"
"Raahe Nahkiainen","2020","1","9","16:00","16","286"
"Raahe Nahkiainen","2020","1","9","17:00","16.5","289"
"Raahe Nahkiainen","2020","1","9","18:00","15.8","280"
"Raahe Nahkiainen","2020","1","9","19:00","16.2","278"
"Raahe Nahkiainen","2020","1","9","20:00","16.6","278"
"Raahe Nahkiainen","2020","1","9","21:00","16.7","276"
"Raahe Nahkiainen","2020","1","9","22:00","14.9","278"
"Raahe Nahkiainen","2020","1","9","23:00","14.4","283"
"Raahe Nahkiainen","2020","1","10","00:00","13.3","286"
"Raahe Nahkiainen","2020","1","10","01:00","12.2","296"
"Raahe Nahkiainen","2020","1","10","02:00","11.4","303"
"Raahe Nahkiainen","2020","1","10","03:00","9.7","302"
"Raahe Nahkiainen","2020","1","10","04:00","8.8","286"
"Raahe Nahkiainen","2020","1","10","05:00","9.7","280"
"Raahe Nahkiainen","2020","1","10","06:00","8.5","276"
"Raahe Nahkiainen","2020","1","10","07:00","7.3","278"
"Raahe Nahkiainen","2020","1","10","08:00","6.6","266"
"Raahe Nahkiainen","2020","1","10","09:00","6.7","262"
"Raahe Nahkiainen","2020","1","10","10:00","7.9","261"
"Raahe Nahkiainen","2020","1","10","11:00","8.2","261"
"Raahe Nahkiainen","2020","1","10","12:00","8.4","266"
"Raahe Nahkiainen","2020","1","10","13:00","9.3","272"
"Raahe Nahkiainen","2020","1","10","14:00","9.8","271"
"Raahe Nahkiainen","2020","1","10","15:00","9.9","279"
"Raahe Nahkiainen","2020","1","10","16:00","9.8","279"
"Raahe Nahkiainen","2020","1","10","17:00","8.5","279"
"Raahe Nahkiainen","2020","1","10","18:00","8.2","283"
"Raahe Nahkiainen","2020","1","10","19:00","8.8","283"
"Raahe Nahkiainen","2020","1","10","20:00","8.5","287"
"Raahe Nahkiainen","2020","1","10","21:00","7.6","284"
"Raahe Nahkiainen","2020","1","10","22:00","9.2","283"
"Raahe Nahkiainen","2020","1","10","23:00","8.7","283"
"Raahe Nahkiainen","2020","1","11","00:00","6.6","285"
"Raahe Nahkiainen","2020","1","11","01:00","7.7","293"
"Raahe Nahkiainen","2020","1","11","02:00","5.5","286"
"Raahe Nahkiainen","2020","1","11","03:00","6.8","270"
"Raahe Nahkiainen","2020","1","11","04:00","7.3","261"
"Raahe Nahkiainen","2020","1","11","05:00","7.6","257"
"Raahe Nahkiainen","2020","1","11","06:00","8.1","232"
"Raahe Nahkiainen","2020","1","11","07:00","10.2","214"
"Raahe Nahkiainen","2020","1","11","08:00","11.4","216"
"Raahe Nahkiainen","2020","1","11","09:00","11.8","203"
"Raahe Nahkiainen","2020","1","11","10:00","12.7","202"
"Raahe Nahkiainen","2020","1","11","11:00","13.9","192"
"Raahe Nahkiainen","2020","1","11","12:00","15.2","205"
"Raahe Nahkiainen","2020","1","11","13:00","14.8","194"
"Raahe Nahkiainen","2020","1","11","14:00","15.9","197"
"Raahe Nahkiainen","2020","1","11","15:00","17.8","205"
"Raahe Nahkiainen","2020","1","11","16:00","18.2","211"
"Raahe Nahkiainen","2020","1","11","17:00","18.9","223"
"Raahe Nahkiainen","2020","1","11","18:00","20.1","234"
"Raahe Nahkiainen","2020","1","11","19:00","19.1","232"
"Raahe Nahkiainen","2020","1","11","20:00","18.6","229"
"Raahe Nahkiainen","2020","1","11","21:00","18.8","234"
"Raahe Nahkiainen","2020","1","11","22:00","18.2","234"
"Raahe Nahkiainen","2020","1","11","23:00","17.3","237"
"Raahe Nahkiainen","2020","1","12","00:00","17.5","233"
"Raahe Nahkiainen","2020","1","12","01:00","16.1","236"
"Raahe Nahkiainen","2020","1","12","02:00","15.9","237"
"Raahe Nahkiainen","2020","1","12","03:00","15.4","238"
"Raahe Nahkiainen","2020","1","12","04:00","15.1","243"
"Raahe Nahkiainen","2020","1","12","05:00","14.6","252"
"Raahe Nahkiainen","2020","1","12","06:00","14.1","259"
"Raahe Nahkiainen","2020","1","12","07:00","13.2","263"
"Raahe Nahkiainen","2020","1","12","08:00","13.1","257"
"Raahe Nahkiainen","2020","1","12","09:00","13.9","259"
"Raahe Nahkiainen","2020","1","12","10:00","14.5","260"
"Raahe Nahkiainen","2020","1","12","11:00","14.1","263"
"Raahe Nahkiainen","2020","1","12","12:00","13.3","269"
"Raahe Nahkiainen","2020","1","12","13:00","13.3","273"
"Raahe Nahkiainen","2020","1","12","14:00","13.3","269"
"Raahe Nahkiainen","2020","1","12","15:00","13.7","263"
"Raahe Nahkiainen","2020","1","12","16:00","12.5","262"
"Raahe Nahkiainen","2020","1","12","17:00","12","267"
"Raahe Nahkiainen","2020","1","12","18:00","11.2","273"
"Raahe Nahkiainen","2020","1","12","19:00","10.9","276"
"Raahe Nahkiainen","2020","1","12","20:00","11.2","280"
"Raahe Nahkiainen","2020","1","12","21:00","12.2","285"
"Raahe Nahkiainen","2020","1","12","22:00","10.8","286"
"Raahe Nahkiainen","2020","1","12","23:00","10.5","281"
"Raahe Nahkiainen","2020","1","13","00:00","10.3","271"
"Raahe Nahkiainen","2020","1","13","01:00","10.4","263"
"Raahe Nahkiainen","2020","1","13","02:00","10.3","252"
"Raahe Nahkiainen","2020","1","13","03:00","13.5","253"
"Raahe Nahkiainen","2020","1","13","04:00","12.7","255"
"Raahe Nahkiainen","2020","1","13","05:00","11.2","263"
"Raahe Nahkiainen","2020","1","13","06:00","11.4","261"
"Raahe Nahkiainen","2020","1","13","07:00","11.7","262"
"Raahe Nahkiainen","2020","1","13","08:00","11.8","259"
"Raahe Nahkiainen","2020","1","13","09:00","12.1","261"
"Raahe Nahkiainen","2020","1","13","10:00","11.8","259"
"Raahe Nahkiainen","2020","1","13","11:00","11.6","254"
"Raahe Nahkiainen","2020","1","13","12:00","11.4","250"
"Raahe Nahkiainen","2020","1","13","13:00","12.3","245"
"Raahe Nahkiainen","2020","1","13","14:00","13.2","245"
"Raahe Nahkiainen","2020","1","13","15:00","13.4","244"
"Raahe Nahkiainen","2020","1","13","16:00","13.8","242"
"Raahe Nahkiainen","2020","1","13","17:00","14.6","231"
"Raahe Nahkiainen","2020","1","13","18:00","15.6","231"
"Raahe Nahkiainen","2020","1","13","19:00","16.4","222"
"Raahe Nahkiainen","2020","1","13","20:00","17.3","228"
"Raahe Nahkiainen","2020","1","13","21:00","16","234"
"Raahe Nahkiainen","2020","1","13","22:00","15.1","245"
"Raahe Nahkiainen","2020","1","13","23:00","13.2","251"
"Raahe Nahkiainen","2020","1","14","00:00","12.2","253"
"Raahe Nahkiainen","2020","1","14","01:00","11.9","250"
"Raahe Nahkiainen","2020","1","14","02:00","12","244"
"Raahe Nahkiainen","2020","1","14","03:00","13.7","243"
"Raahe Nahkiainen","2020","1","14","04:00","13.3","243"
"Raahe Nahkiainen","2020","1","14","05:00","13.8","236"
"Raahe Nahkiainen","2020","1","14","06:00","14.8","228"
"Raahe Nahkiainen","2020","1","14","07:00","15.3","224"
"Raahe Nahkiainen","2020","1","14","08:00","15.5","220"
"Raahe Nahkiainen","2020","1","14","09:00","15.7","219"
"Raahe Nahkiainen","2020","1","14","10:00","15.3","218"
"Raahe Nahkiainen","2020","1","14","11:00","15.3","212"
"Raahe Nahkiainen","2020","1","14","12:00","15.3","206"
"Raahe Nahkiainen","2020","1","14","13:00","15.1","202"
"Raahe Nahkiainen","2020","1","14","14:00","14.6","201"
"Raahe Nahkiainen","2020","1","14","15:00","13.9","189"
"Raahe Nahkiainen","2020","1","14","16:00","15","182"
"Raahe Nahkiainen","2020","1","14","17:00","13.7","180"
"Raahe Nahkiainen","2020","1","14","18:00","15","192"
"Raahe Nahkiainen","2020","1","14","19:00","15.9","201"
"Raahe Nahkiainen","2020","1","14","20:00","17","208"
"Raahe Nahkiainen","2020","1","14","21:00","16.7","212"
"Raahe Nahkiainen","2020","1","14","22:00","16","216"
"Raahe Nahkiainen","2020","1","14","23:00","14.7","227"
"Raahe Nahkiainen","2020","1","15","00:00","15.7","233"
"Raahe Nahkiainen","2020","1","15","01:00","14.6","235"
"Raahe Nahkiainen","2020","1","15","02:00","13.8","235"
"Raahe Nahkiainen","2020","1","15","03:00","12.5","236"
"Raahe Nahkiainen","2020","1","15","04:00","12.3","231"
"Raahe Nahkiainen","2020","1","15","05:00","13.1","234"
"Raahe Nahkiainen","2020","1","15","06:00","11.1","234"
"Raahe Nahkiainen","2020","1","15","07:00","11.8","226"
"Raahe Nahkiainen","2020","1","15","08:00","12.3","217"
"Raahe Nahkiainen","2020","1","15","09:00","10.7","213"
"Raahe Nahkiainen","2020","1","15","10:00","8.8","207"
"Raahe Nahkiainen","2020","1","15","11:00","8","187"
"Raahe Nahkiainen","2020","1","15","12:00","5.6","173"
"Raahe Nahkiainen","2020","1","15","13:00","4","158"
"Raahe Nahkiainen","2020","1","15","14:00","3.7","163"
"Raahe Nahkiainen","2020","1","15","15:00","2.1","155"
"Raahe Nahkiainen","2020","1","15","16:00","1.5","201"
"Raahe Nahkiainen","2020","1","15","17:00","2.5","263"
"Raahe Nahkiainen","2020","1","15","18:00","4.8","255"
"Raahe Nahkiainen","2020","1","15","19:00","6.4","255"
"Raahe Nahkiainen","2020","1","15","20:00","5.8","254"
"Raahe Nahkiainen","2020","1","15","21:00","5.3","250"
"Raahe Nahkiainen","2020","1","15","22:00","4.4","246"
"Raahe Nahkiainen","2020","1","15","23:00","5.2","232"
"Raahe Nahkiainen","2020","1","16","00:00","5.6","232"
"Raahe Nahkiainen","2020","1","16","01:00","4","243"
"Raahe Nahkiainen","2020","1","16","02:00","3.5","248"
"Raahe Nahkiainen","2020","1","16","03:00","4.8","264"
"Raahe Nahkiainen","2020","1","16","04:00","5.1","306"
"Raahe Nahkiainen","2020","1","16","05:00","4.5","324"
"Raahe Nahkiainen","2020","1","16","06:00","4","318"
"Raahe Nahkiainen","2020","1","16","07:00","3.8","338"
"Raahe Nahkiainen","2020","1","16","08:00","3.1","327"
"Raahe Nahkiainen","2020","1","16","09:00","4","291"
"Raahe Nahkiainen","2020","1","16","10:00","4.4","293"
"Raahe Nahkiainen","2020","1","16","11:00","4","272"
"Raahe Nahkiainen","2020","1","16","12:00","3.5","269"
"Raahe Nahkiainen","2020","1","16","13:00","2.6","262"
"Raahe Nahkiainen","2020","1","16","14:00","3.6","255"
"Raahe Nahkiainen","2020","1","16","15:00","3","241"
"Raahe Nahkiainen","2020","1","16","16:00","4","245"
"Raahe Nahkiainen","2020","1","16","17:00","4.2","211"
"Raahe Nahkiainen","2020","1","16","18:00","9.2","219"
"Raahe Nahkiainen","2020","1","16","19:00","9.9","223"
"Raahe Nahkiainen","2020","1","16","20:00","11.4","228"
"Raahe Nahkiainen","2020","1","16","21:00","11.3","228"
"Raahe Nahkiainen","2020","1","16","22:00","12.6","235"
"Raahe Nahkiainen","2020","1","16","23:00","12.6","238"
"Raahe Nahkiainen","2020","1","17","00:00","13.2","243"
"Raahe Nahkiainen","2020","1","17","01:00","12.2","250"
"Raahe Nahkiainen","2020","1","17","02:00","11.4","258"
"Raahe Nahkiainen","2020","1","17","03:00","11.1","267"
"Raahe Nahkiainen","2020","1","17","04:00","9","262"
"Raahe Nahkiainen","2020","1","17","05:00","6.1","257"
"Raahe Nahkiainen","2020","1","17","06:00","10.4","250"
"Raahe Nahkiainen","2020","1","17","07:00","10","252"
"Raahe Nahkiainen","2020","1","17","08:00","9.3","253"
"Raahe Nahkiainen","2020","1","17","09:00","8.5","259"
"Raahe Nahkiainen","2020","1","17","10:00","8","251"
"Raahe Nahkiainen","2020","1","17","11:00","7.1","251"
"Raahe Nahkiainen","2020","1","17","12:00","6.5","247"
"Raahe Nahkiainen","2020","1","17","13:00","5.1","34"
"Raahe Nahkiainen","2020","1","17","14:00","5.9","60"
"Raahe Nahkiainen","2020","1","17","15:00","5.9","69"
"Raahe Nahkiainen","2020","1","17","16:00","6","71"
"Raahe Nahkiainen","2020","1","17","17:00","5.7","71"
"Raahe Nahkiainen","2020","1","17","18:00","6.2","87"
"Raahe Nahkiainen","2020","1","17","20:00","4.3","157"
"Raahe Nahkiainen","2020","1","17","21:00","5.6","163"
"Raahe Nahkiainen","2020","1","17","22:00","5.4","157"
"Raahe Nahkiainen","2020","1","17","23:00","5.5","157"
"Raahe Nahkiainen","2020","1","18","00:00","5.6","164"
"Raahe Nahkiainen","2020","1","18","01:00","5.6","165"
"Raahe Nahkiainen","2020","1","18","02:00","5.4","167"
"Raahe Nahkiainen","2020","1","18","03:00","5.7","171"
"Raahe Nahkiainen","2020","1","18","04:00","5.8","172"
"Raahe Nahkiainen","2020","1","18","05:00","6.4","182"
"Raahe Nahkiainen","2020","1","18","06:00","6.3","187"
"Raahe Nahkiainen","2020","1","18","07:00","6.7","201"
"Raahe Nahkiainen","2020","1","18","08:00","7.7","203"
"Raahe Nahkiainen","2020","1","18","09:00","6.3","194"
"Raahe Nahkiainen","2020","1","18","10:00","7.2","197"
"Raahe Nahkiainen","2020","1","18","11:00","5.7","175"
"Raahe Nahkiainen","2020","1","18","12:00","5.2","167"
"Raahe Nahkiainen","2020","1","18","13:00","5.8","181"
"Raahe Nahkiainen","2020","1","18","14:00","6.4","188"
"Raahe Nahkiainen","2020","1","18","15:00","7","205"
"Raahe Nahkiainen","2020","1","18","16:00","6.3","211"
"Raahe Nahkiainen","2020","1","18","17:00","7.3","201"
"Raahe Nahkiainen","2020","1","18","18:00","8.5","197"
"Raahe Nahkiainen","2020","1","18","19:00","7.5","190"
"Raahe Nahkiainen","2020","1","18","20:00","7","187"
"Raahe Nahkiainen","2020","1","18","21:00","6.9","191"
"Raahe Nahkiainen","2020","1","18","22:00","6.5","192"
"Raahe Nahkiainen","2020","1","18","23:00","4.9","193"
"Raahe Nahkiainen","2020","1","19","00:00","3.6","282"
"Raahe Nahkiainen","2020","1","19","05:00","9.6","320"
"Raahe Nahkiainen","2020","1","19","06:00","10.5","320"
"Raahe Nahkiainen","2020","1","19","07:00","10.7","322"
"Raahe Nahkiainen","2020","1","19","08:00","11.2","328"
"Raahe Nahkiainen","2020","1","19","09:00","10.9","331"
"Raahe Nahkiainen","2020","1","19","10:00","10.9","332"
"Raahe Nahkiainen","2020","1","19","11:00","10.4","333"
"Raahe Nahkiainen","2020","1","19","12:00","9.2","336"
"Raahe Nahkiainen","2020","1","19","13:00","8.7","330"
"Raahe Nahkiainen","2020","1","19","14:00","9.8","327"
"Raahe Nahkiainen","2020","1","19","15:00","10.1","337"
"Raahe Nahkiainen","2020","1","19","16:00","8.5","348"
"Raahe Nahkiainen","2020","1","19","17:00","6.5","335"
"Raahe Nahkiainen","2020","1","19","18:00","6","323"
"Raahe Nahkiainen","2020","1","19","19:00","8.3","318"
"Raahe Nahkiainen","2020","1","19","20:00","7.1","323"
"Raahe Nahkiainen","2020","1","19","21:00","3.8","294"
